Variable,ShortName,Week,Hours,AL00,AT00,BA00,BE00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,HU00,IE00,LT00,LV00,ME00,MK00,NL00,PL00,PT00,RO00,RS00,SI00,SK00,UK00,IT00,LU00,SE00,NO00
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,11,168,0,0,0,0,0,0.20917166,0,0,0,0.19005425,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,0.063463379,0.27
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,12,168,0,0,0,0,0,0.197834781,0,0,0,0.169981917,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0.054202975,0.239333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,13,168,0,0,0,0,0,0.18637332,0,0,0,0.150994575,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0.050198014,0.214666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,14,168,0,0,0,0,0,0.162329168,0,0,0,0.133996383,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0.040885424,0.188333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,15,168,0,0,0,0,0,0.134423003,0,0,0,0.132007233,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0.029148158,0.167666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,16,168,0,0,0,0,0,0.13068557,0,0,0,0.139059675,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,0,0,0,0.02616968,0.16
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,17,168,0,0,0,0,0,0.116607906,0,0,0,0.145027125,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0,0,0,0.083816184,0.158666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,18,168,0,0,0,0,0,0.102654823,0,0,0,0.150090416,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0,0,0,0.09882796,0.158
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,19,168,0,0,0,0,0,0.088577159,0,0,0,0.160036166,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0.148782301,0.16
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,20,168,0,0,0,0,0,0.109506783,0,0,0,0.239963834,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,0,0,0.181559326,0.195666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,21,168,0,0,0,0,0,0.130436408,0,0,0,0.364014467,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,0,0,0.235321125,0.220666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,22,168,0,0,0,0,0,0.151490613,0,0,0,0.384990958,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.281376992,0.265666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,23,168,0,0,0,0,0,0.168931966,0,0,0,0.39005425,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,0,0,0.30686927,0.318333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,24,168,0,0,0,0,0,0.183383373,0,0,0,0.396925859,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619,0,0,0,0.345577996,0.366666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,25,168,0,0,0,0,0,0.228357149,0,0,0,0.39005425,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619,0,0,0,0.400813075,0.410666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,26,168,0,0,0,0,0,0.273330925,0,0,0,0.386980108,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,0,0,0.419099553,0.433666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,27,168,0,0,0,0,0,0.318180119,0,0,0,0.377034358,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638,0,0,0,0.480717155,0.471333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,28,168,0,0,0,0,0,0.363153895,0,0,0,0.375949367,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0.513331504,0.495666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,29,168,0,0,0,0,0,0.438276296,0,0,0,0.375949367,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,0,0,0.534343143,0.516333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,30,168,0,0,0,0,0,0.513523278,0,0,0,0.367992767,0.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.546790119,0.531666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,31,168,0,0,0,0,0,0.548779728,0,0,0,0.358951175,0.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,0.532730845,0.546
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,32,168,0,0,0,0,0,0.581544556,0,0,0,0.347920434,0.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632,0,0,0,0.544252031,0.563333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,33,168,0,0,0,0,0,0.614309385,0,0,0,0.339963834,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,0,0,0.540993912,0.573
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,34,168,0,0,0,0,0,0.646949632,0,0,0,0.339059675,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599,0,0,0,0.507095412,0.583666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,35,168,0,0,0,0,0,0.679589879,0,0,0,0.347016275,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0,0,0,0.498808949,0.591666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,36,168,0,0,0,0,0,0.712354707,0,0,0,0.347920434,0.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0.480181507,0.597666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,37,168,0,0,0,0,0,0.744994954,0,0,0,0.350994575,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0,0,0.451240897,0.594333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,38,168,0,0,0,0,0,0.777635202,0,0,0,0.362929476,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0,0,0,0.409913695,0.588333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,39,168,0,0,0,0,0,0.789719568,0,0,0,0.366003617,0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0.395538793,0.591333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,40,168,0,0,0,0,0,0.801679353,0,0,0,0.369077758,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519,0,0,0,0.405531785,0.614666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,41,168,0,0,0,0,0,0.813763719,0,0,0,0.371066908,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0.402488768,0.638333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,42,168,0,0,0,0,0,0.825723505,0,0,0,0.379927667,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0.385032045,0.654666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,43,168,0,0,0,0,0,0.814760368,0,0,0,0.386075949,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0,0,0.369150247,0.663
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,44,168,0,0,0,0,0,0.803797232,0,0,0,0.3920434,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0,0,0,0.38051888,0.685333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,45,168,0,0,0,0,0,0.792834095,0,0,0,0.398915009,0.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0,0,0,0.384635333,0.692333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,46,168,0,0,0,0,0,0.781870959,0,0,0,0.407052441,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0.367113648,0.684666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,47,168,0,0,0,0,0,0.753466469,0,0,0,0.413019892,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0,0.361463663,0.669333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,48,168,0,0,0,0,0,0.725061979,0,0,0,0.40596745,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0,0,0,0.357071755,0.652333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,49,168,0,0,0,0,0,0.696657489,0,0,0,0.4,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.338828646,0.634
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,50,168,0,0,0,0,0,0.652057457,0,0,0,0.388969259,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0.303234867,0.613333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,51,168,0,0,0,0,0,0.604965802,0,0,0,0.371971067,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,0,0,0.294896147,0.594
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,52,168,0,0,0,0,0,0.557998729,0,0,0,0.354972875,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0.26950974,0.574333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,53,24,0,0,0,0,0,0.510907075,0,0,0,0.349005425,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0.227624058,0
